iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->keras,0.6437125748502994,0.19161676646706588,0.23703703703703705,0.2119205298013245,0.48629699117503994
2,tensorflow->keras,0.6302395209580839,0.18181818181818182,0.23703703703703705,0.2057877813504823,0.4838996595094156
3,tensorflow->keras,0.6422155688622755,0.19047619047619047,0.23703703703703705,0.21122112211221122,0.4718365645194913
4,tensorflow->keras,0.6541916167664671,0.1962025316455696,0.22962962962962963,0.21160409556313994,0.47531095823778746
5,tensorflow->keras,0.6287425149700598,0.17341040462427745,0.2222222222222222,0.19480519480519481,0.47141963727329583
6,tensorflow->keras,0.6332335329341318,0.1686746987951807,0.2074074074074074,0.18604651162790697,0.4869293308317698
7,tensorflow->keras,0.6541916167664671,0.2037037037037037,0.24444444444444444,0.2222222222222222,0.47082204155374885
8,tensorflow->keras,0.6511976047904192,0.189873417721519,0.2222222222222222,0.20477815699658702,0.46866791744840525
9,tensorflow->keras,0.6317365269461078,0.1864406779661017,0.24444444444444444,0.21153846153846154,0.48170384267945243
10,tensorflow->keras,0.6482035928143712,0.1951219512195122,0.23703703703703705,0.2140468227424749,0.4848168994510458
11,tensorflow->keras,0.6511976047904192,0.19375,0.22962962962962963,0.21016949152542372,0.48105760544784937
12,tensorflow->keras,0.6497005988023952,0.19631901840490798,0.23703703703703705,0.21476510067114093,0.4761239663678688
13,tensorflow->keras,0.6511976047904192,0.189873417721519,0.2222222222222222,0.20477815699658702,0.46909179348203744
14,tensorflow->keras,0.6452095808383234,0.1927710843373494,0.23703703703703705,0.21262458471760798,0.47782641928983394
15,tensorflow->keras,0.6437125748502994,0.18404907975460122,0.2222222222222222,0.20134228187919462,0.47914668890278644
16,tensorflow->keras,0.6467065868263473,0.20118343195266272,0.2518518518518518,0.2236842105263158,0.47091237579042455
17,tensorflow->keras,0.6347305389221557,0.16149068322981366,0.1925925925925926,0.17567567567567569,0.4757070391216733
18,tensorflow->keras,0.6482035928143712,0.1794871794871795,0.2074074074074074,0.19243986254295534,0.4722743381279967
19,tensorflow->keras,0.657185628742515,0.1987179487179487,0.22962962962962963,0.21305841924398625,0.4811896324091446
20,tensorflow->keras,0.6467065868263473,0.19393939393939394,0.23703703703703705,0.21333333333333335,0.48146758390660827
