iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->pytorch,0.699468085106383,0.16062176165803108,0.3263157894736842,0.2152777777777778,0.5303372586717937
2,tensorflow->pytorch,0.6901595744680851,0.15151515151515152,0.3157894736842105,0.20477815699658702,0.5319875030040855
3,tensorflow->pytorch,0.6835106382978723,0.1477832512315271,0.3157894736842105,0.20134228187919462,0.5387246655451414
4,tensorflow->pytorch,0.6914893617021277,0.14871794871794872,0.30526315789473685,0.2,0.5483377393254827
5,tensorflow->pytorch,0.6821808510638298,0.13636363636363635,0.28421052631578947,0.18430034129692832,0.5319554594248177
6,tensorflow->pytorch,0.6861702127659575,0.16587677725118483,0.3684210526315789,0.22875816993464052,0.553672995273572
7,tensorflow->pytorch,0.6981382978723404,0.16326530612244897,0.3368421052631579,0.21993127147766323,0.5343346951854522
8,tensorflow->pytorch,0.6875,0.15346534653465346,0.3263157894736842,0.20875420875420875,0.5528879275815108
9,tensorflow->pytorch,0.7007978723404256,0.16145833333333334,0.3263157894736842,0.21602787456445993,0.5508050949291036
10,tensorflow->pytorch,0.6835106382978723,0.1407035175879397,0.29473684210526313,0.19047619047619047,0.5403348554033486
11,tensorflow->pytorch,0.6835106382978723,0.12953367875647667,0.2631578947368421,0.1736111111111111,0.5301610189858207
12,tensorflow->pytorch,0.6848404255319149,0.145,0.30526315789473685,0.19661016949152543,0.5408715853560844
13,tensorflow->pytorch,0.6848404255319149,0.1553398058252427,0.3368421052631579,0.21262458471760798,0.5450612833453496
14,tensorflow->pytorch,0.6928191489361702,0.15306122448979592,0.3157894736842105,0.20618556701030927,0.5464471681486822
15,tensorflow->pytorch,0.699468085106383,0.15706806282722513,0.3157894736842105,0.2097902097902098,0.5376592165344869
16,tensorflow->pytorch,0.7034574468085106,0.15217391304347827,0.29473684210526313,0.2007168458781362,0.5286389489706
17,tensorflow->pytorch,0.699468085106383,0.15706806282722513,0.3157894736842105,0.2097902097902098,0.5534246575342466
18,tensorflow->pytorch,0.6941489361702128,0.14659685863874344,0.29473684210526313,0.1958041958041958,0.5395417768164705
19,tensorflow->pytorch,0.6968085106382979,0.1518324607329843,0.30526315789473685,0.20279720279720279,0.5367219418409036
20,tensorflow->pytorch,0.6968085106382979,0.14814814814814814,0.29473684210526313,0.19718309859154928,0.5234559000240327
