iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->incubator-mxnet,0.6492248062015504,0.08571428571428572,0.18461538461538463,0.11707317073170732,0.46721814770595255
2,tensorflow->incubator-mxnet,0.6531007751937985,0.10416666666666667,0.23076923076923078,0.14354066985645933,0.4775882653931435
3,tensorflow->incubator-mxnet,0.6666666666666666,0.1258741258741259,0.27692307692307694,0.17307692307692307,0.5005287395531297
4,tensorflow->incubator-mxnet,0.6414728682170543,0.1,0.23076923076923078,0.13953488372093023,0.48630393996247656
5,tensorflow->incubator-mxnet,0.6647286821705426,0.11428571428571428,0.24615384615384617,0.15609756097560976,0.48806071976803683
6,tensorflow->incubator-mxnet,0.6724806201550387,0.12318840579710146,0.26153846153846155,0.16748768472906403,0.4665870714651203
7,tensorflow->incubator-mxnet,0.6492248062015504,0.09722222222222222,0.2153846153846154,0.1339712918660287,0.46912843254306674
8,tensorflow->incubator-mxnet,0.6627906976744186,0.0962962962962963,0.2,0.13,0.5042299164250383
9,tensorflow->incubator-mxnet,0.6724806201550387,0.12318840579710146,0.26153846153846155,0.16748768472906403,0.5033600545795668
10,tensorflow->incubator-mxnet,0.6608527131782945,0.10144927536231885,0.2153846153846154,0.13793103448275862,0.49396213542555
11,tensorflow->incubator-mxnet,0.6589147286821705,0.11724137931034483,0.26153846153846155,0.1619047619047619,0.48256865086133377
12,tensorflow->incubator-mxnet,0.6686046511627907,0.11594202898550725,0.24615384615384617,0.15763546798029557,0.476002046733754
13,tensorflow->incubator-mxnet,0.6569767441860465,0.1056338028169014,0.23076923076923078,0.14492753623188406,0.47554153163909263
14,tensorflow->incubator-mxnet,0.6608527131782945,0.09558823529411764,0.2,0.12935323383084577,0.46552959235886066
15,tensorflow->incubator-mxnet,0.6511627906976745,0.09219858156028368,0.2,0.1262135922330097,0.4890840866450622
16,tensorflow->incubator-mxnet,0.6705426356589147,0.1111111111111111,0.23076923076923078,0.15,0.49764625618284153
17,tensorflow->incubator-mxnet,0.6414728682170543,0.08333333333333333,0.18461538461538463,0.11483253588516747,0.4757632611291148
18,tensorflow->incubator-mxnet,0.6434108527131783,0.10596026490066225,0.24615384615384617,0.14814814814814814,0.4984990619136961
19,tensorflow->incubator-mxnet,0.6550387596899225,0.11564625850340136,0.26153846153846155,0.16037735849056603,0.49143783046222067
20,tensorflow->incubator-mxnet,0.6472868217054264,0.11258278145695365,0.26153846153846155,0.1574074074074074,0.5137131161521405
