id,text,sentiment
688,"['python', 'doc', 'global', 'op', 'carried', 'source', 'bug', 'missing', 'many', 'global', 'operator', 'reproduce', 'expected', 'behavior', 'global', 'ops', 'contain', 'valid', 's.', 'environment', 'pytorch', 'version', '1.0.1.post2', 'debug', 'build', 'cuda', 'used', 'build', 'pytorch', '9.0.176', 'o', 'ubuntu', '16.04.5', 'lts', 'gcc', 'version', 'ubuntu', '5.4.0', '6ubuntu1', '16.04.11', '5.4.0', '20160609', 'cmake', 'version', 'version', '3.9.4', 'python', 'version', '3.6', 'cuda', 'available', 'yes', 'cuda', 'runtime', 'version', 'could', 'collect', 'gpu', 'model', 'configuration', 'gpu', '0', 'geforce', 'gtx', 'titan', 'black', 'gpu', '1', 'geforce', 'gtx', 'titan', 'black', 'gpu', '2', 'geforce', 'gtx', 'titan', 'black', 'gpu', '3', 'geforce', 'gtx', 'titan', 'black', 'nvidia', 'driver', 'version', '390.30', 'cudnn', 'version', 'usr', 'lib', 'x86', '64', 'linux', 'gnu', 'libcudnn.so.7.1.1']",1
616,"['dataloader', 'segmentation', 'fault', 'using', 'mpi', 'backend', 'single', 'process', 'per', 'gpu', 'bug', 'using', 'distributeddataparallel', 'mpi', 'backend', 'assigning', 'gpu', 'single', 'process', 'host', 'program', 'crash', 'end', 'epoch', 'failure', 'always', 'consistent', 'reproduce', 'http', 'github.com', 'pytorch', 'example', 'blob', 'master', 'imagenet', 'main.py', 'http', 'github.com', 'pytorch', 'example', 'blob', 'master', 'imagenet', 'main.py', 'run', 'modification', 'environment', 'additional', 'context', 'crash', 'less', 'likely', 'occur', 'decreased', 'increased', 'core', 'dump', 'generated', 'pytorchsegfault', 'http', 'github.com', 'pytorch', 'pytorch', 'file', '2572658', 'pytorchsegfault.txt']",0
322,"['torch.from', 'pil', 'request', 'feature', 'simple', 'method', 'transforming', 'pil', 'image', 'directly', 'torch', 'tensor', 'motivation', 'frustrating', 'use', 'transforms', 'simple', 'conversion', 'pil', 'image', 'torch', 'tensor', 'time', 'easy', 'get', 'tensor', 'numpy', 'pitch', 'giving', 'pil', 'image', 'type', 'return', 'torch', 'tensor', 'alternative', 'considered', 'two', '1.', 'transforms', '2.', 'convert', 'first', 'numpy', 'torch']",0
241,"['torch.halftensor', 'object', 'attribute', 'mean', 'result', 'torch.halftensor', 'object', 'attribute', 'mean', '0.4.0a0', '5f7c550']",0
647,"['support', 'dilation', 'conv1d', 'conv3d']",0
701,"['better', 'error', 'message', 'compiling', 'cudnn', 'v5', 'which', 'supported', 'anymore', 'hi', 'im', 'getting', 'following', 'error', 'try', 'build', 'seems', 'like', 'flag', 'added', 'within', 'past', 'couple', 'week', 'cant', 'find', 'anything', 'googling', 'error', 'cudnnv5', 'cuda', '8.0', 'ubuntu16.04', 'box', 'provide', 'detail', 'needed', 'thanks']",0
57,"['quantized', 'conv', '6x', 'slower', 'float', 'cpu', 'repro', 'run', 'resnext101', '32x8d', 'quantized', 'conv', 'instead', 'float', 'conv', 'measure', 'elapsed', 'time', 'possible', 'cause', 'layout', 'transform', 'quantized', 'conv2d', 'call']",0
350,"['index', 'add', 'scalar', 'value', 'instead', 'tensor', 'hi', 'wondering', 'whether', 'could', 'update', 'function', 'like', 'third', 'argument', 'also', 'scalar', 'value']",0
311,"['feature', 'request', 'add', 'matrix', 'function', 'add', 'matrix', 'power', 'implemented', 'numpy.linalg.matrix', 'power', 'http', 'docs.scipy.org', 'doc', 'numpy', 'reference', 'generated', 'numpy.linalg.matrix', 'power.html', 'matrix', 'exponential', 'implemented', 'scipy.linalg.expm', 'http', 'docs.scipy.org', 'doc', 'scipy', '0.15.1', 'reference', 'generated', 'scipy.linalg.expm.html', 'matrix', 'logarithm', 'implemented', 'scipy.linalg.logm', 'http', 'docs.scipy.org', 'doc', 'scipy', '0.15.1', 'reference', 'generated', 'scipy.linalg.logm.html', 'x', 'matrix', 'power', 'x', 'matrix', 'exp', 'matrix', 'log', 'matrix', 'sqrt', 'cc', 'ezyang', 'gchanan', 'zou3519', 'bdhirsh', 'jbschlosser', 'anjali411', 'jianyuh', 'nikitaved', 'pearu', 'mruberry', 'heitorschueroff', 'walterddr', 'ivanyashchuk', 'xwang233', 'lezcano', 'rgommers']",0
277,"['warning', 'root', 'caffe2', 'python', 'run', 'gpu', 'support', 'run', 'cpu', 'mode', 'warning', 'root', 'debug', 'message', 'libcurand.so.9.0', 'can', 'not', 'open', 'shared', 'object', 'file', 'file', 'directory', 'segmentation', 'fault', 'core', 'dumped', 'hi', 'gpu', 'cuda', 'cudnn', 'nccl', 'o', 'ubuntu', '16.04', 'followed', 'tutorial', 'install', 'coffe2', 'gpu', 'support', 'conda', 'install', 'c', 'caffe2', 'caffe2', 'cuda9.0', 'cudnn7', 'installation', 'finished', 'successfully', 'command', 'python2', 'c', 'caffe2.python', 'import', 'workspace', 'print', 'workspace.numcudadevices', 'return', 'warning', 'root', 'caffe2', 'python', 'run', 'gpu', 'support', 'run', 'cpu', 'mode', 'warning', 'root', 'debug', 'message', 'libcurand.so.9.0', 'can', 'not', 'open', 'shared', 'object', 'file', 'file', 'directory', 'segmentation', 'fault', 'core', 'dumped', 'idea', 'solve', 'tnx', 'nvcc', 'version', 'nvcc', 'nvidia', 'r', 'cuda', 'compiler', 'driver', 'copyright', 'c', '2005', '2018', 'nvidia', 'corporation', 'built', 'tue', 'jun', '12', '23', '07', '04', 'cdt', '2018', 'cuda', 'compilation', 'tool', 'release', '9.2', 'v9.2.148', 'conda', 'v', 'conda', '4.5.8', 'nvidia', 'smi', 'tue', 'jul', '17', '01', '58', '01', '2018', 'nvidia', 'smi', '384.130', 'driver', 'version', '384.130', 'gpu', 'name', 'persistence', 'bus', 'id', 'disp.a', 'volatile', 'uncorr', 'ecc', 'fan', 'temp', 'perf', 'pwr', 'usage', 'cap', 'memory', 'usage', 'gpu', 'util', 'compute', 'm.', '0', 'quadro', 'm520', '00000000', '02', '00.0', 'n', 'n', '41c', 'p0', 'n', 'n', '298mib', '2002mib', '2', 'default', 'process', 'gpu', 'memory', 'gpu', 'pid', 'type', 'process', 'name', 'usage', '0', '21578', 'g', 'usr', 'lib', 'xorg', 'xorg', '234mib', '0', '22157', 'g', 'compiz', '62mib']",0
